image,occlusion,cited_drop,control_drop,n_features,dataset,effect_over_control
MHIST_ajp.png,mean,-0.09162743886311843,-0.10666759312152857,3,MHIST,0.01504015425841014
MHIST_aju.png,black,0.15605189402898148,0.27037049482266107,3,MHIST,-0.11431860079367959
MHIST_aju.png,blur,0.15885941187540686,0.22670551836490624,3,MHIST,-0.06784610648949937
MHIST_aju.png,mean,0.15958241621653232,0.2525059143702189,3,MHIST,-0.09292349815368658
MHIST_ajy.png,black,0.23606151342391965,0.2264919504523277,2,MHIST,0.00956956297159195
MHIST_ajy.png,blur,0.2973361909389496,0.21607512980699534,2,MHIST,0.08126106113195425
MHIST_ajy.png,mean,0.30062273144721985,0.250668966025114,2,MHIST,0.049953765422105834
MHIST_ajz.png,black,0.1584219137827555,0.27498876303434366,3,MHIST,-0.11656684925158817
MHIST_ajz.png,blur,0.14874203999837235,0.25201055871115785,3,MHIST,-0.1032685187127855
MHIST_ajz.png,mean,0.14222643772761023,0.24323690897888603,3,MHIST,-0.1010104712512758
MHIST_akc.png,black,0.15467820564905796,0.32988880863265385,3,MHIST,-0.1752106029835959
MHIST_akc.png,blur,0.1636940240859985,0.22751949703882612,3,MHIST,-0.06382547295282762
MHIST_akc.png,mean,0.14803131421407056,0.29954125077005417,3,MHIST,-0.1515099365559836
MHIST_akd.png,black,0.2249111384153366,0.2488378370446818,2,MHIST,-0.023926698629345183
MHIST_akd.png,blur,0.2504366487264633,0.2290667615830898,2,MHIST,0.02136988714337351
MHIST_akd.png,mean,0.28993964195251465,0.30240670229707445,2,MHIST,-0.0124670603445598
MHIST_aki.png,black,0.20020452141761774,0.2790511164527673,2,MHIST,-0.07884659503514957
MHIST_aki.png,blur,0.1057873964309692,0.2591484125417012,2,MHIST,-0.153361016110732
MHIST_aki.png,mean,0.1619610786437988,0.32047607778356624,2,MHIST,-0.15851499913976744
MHIST_akk.png,black,0.21349760890007013,0.3616037877306105,2,MHIST,-0.1481061788305404
MHIST_akk.png,blur,0.1395810842514038,0.18749137719472245,2,MHIST,-0.04791029294331864
MHIST_akk.png,mean,0.22213843464851374,0.2506250857360779,2,MHIST,-0.028486651087564152
MHIST_akl.png,black,0.2693079560995102,0.4312496230006218,2,MHIST,-0.16194166690111161
MHIST_akl.png,blur,0.20521119236946106,0.30424492135643955,2,MHIST,-0.09903372898697849
MHIST_akl.png,mean,0.19913107156753534,0.36462059244513506,2,MHIST,-0.16548952087759972
MHIST_akn.png,black,0.25409439206123346,0.3163821160793304,2,MHIST,-0.06228772401809696
MHIST_akn.png,blur,0.1521679461002349,0.2452005565166473,2,MHIST,-0.09303261041641239
